request,core,latency,pressure
1,0,17,1
2,1,11,1
3,2,14,1
4,3,12,1
5,4,12,1
6,5,6,1
7,6,20,1
8,7,21,1
9,0,15,0
10,1,22,0
11,2,11,0
12,3,21,0
13,4,12,0
14,5,11,0
15,6,15,0
16,7,17,0
17,0,15,0
18,1,12,0
19,2,12,0
20,3,13,0
21,4,10,0
22,5,19,0
23,6,16,0
24,7,17,0
25,0,13,0
26,1,13,0
27,2,9,0
28,3,20,0
29,4,13,0
30,5,43,0
31,6,12,0
32,7,18,0
33,0,19,0
34,1,11,0
35,2,13,0
36,3,17,0
37,4,14,0
38,5,13,0
39,6,12,0
40,7,12,0
41,0,45,0
42,1,9,0
43,2,46,0
44,3,7,0
45,4,13,0
46,5,17,0
47,6,10,0
48,7,22,1
49,0,7,1
50,1,18,1
51,2,11,1
52,3,14,0
53,4,15,0
54,5,14,0
55,6,17,0
56,7,15,0
57,0,11,0
58,1,13,0
59,2,23,0
60,3,17,0
61,4,16,0
62,5,17,0
63,6,12,0
64,7,9,0
65,0,7,0
66,1,17,0
67,2,12,0
68,3,21,0
69,4,10,0
70,5,17,0
71,6,10,0
72,7,16,0
73,0,16,0
74,1,12,0
75,2,13,0
76,3,18,0
77,4,16,0
78,5,13,0
79,6,20,0
80,7,10,0
81,0,13,0
82,1,7,0
83,2,11,0
84,3,14,1
85,4,18,1
86,5,7,0
87,6,15,0
88,7,18,0
89,0,13,0
90,1,14,0
91,2,17,0
92,3,8,0
93,4,11,0
94,5,10,0
95,6,18,0
96,7,11,0
97,0,6,0
98,1,17,0
99,2,14,0
100,3,17,0
101,4,18,0
102,5,12,0
103,6,11,0
104,7,12,0
105,0,46,0
106,1,10,0
107,2,12,0
108,3,15,0
109,4,16,0
110,5,13,0
111,6,6,0
112,7,8,0
113,0,19,0
114,1,15,0
115,2,18,0
116,3,13,0
117,4,20,0
118,5,18,0
119,6,16,0
120,7,8,0
121,0,15,0
122,1,17,0
123,2,16,1
124,3,18,0
125,4,12,0
126,5,16,1
127,6,18,0
128,7,13,0
129,0,19,0
130,1,14,0
131,2,7,0
132,3,10,0
133,4,9,0
134,5,8,0
135,6,22,0
136,7,9,0
137,0,16,0
138,1,8,0
139,2,36,0
140,3,9,0
141,4,14,0
142,5,12,0
143,6,14,0
144,7,8,0
145,0,20,0
146,1,17,0
147,2,16,0
148,3,18,0
149,4,20,0
150,5,8,0
151,6,39,0
152,7,21,0
153,0,11,0
154,1,10,1
155,2,8,1
156,3,9,0
157,4,11,0
158,5,40,0
159,6,10,0
160,7,14,0
161,0,17,0
162,1,16,0
163,2,45,0
164,3,13,0
165,4,9,0
166,5,16,0
167,6,12,0
168,7,17,0
169,0,5,0
170,1,44,0
171,2,20,0
172,3,17,0
173,4,47,0
174,5,13,0
175,6,16,0
176,7,6,0
177,0,12,0
178,1,17,0
179,2,9,0
180,3,19,1
181,4,10,0
182,5,10,0
183,6,11,1
184,7,13,1
185,0,16,0
186,1,14,0
187,2,23,0
188,3,12,0
189,4,19,0
190,5,47,0
191,6,14,0
192,7,14,0
193,0,13,0
194,1,21,0
195,2,9,0
196,3,21,0
197,4,8,0
198,5,11,0
199,6,17,0
200,7,20,0
201,0,13,0
202,1,16,0
203,2,17,0
204,3,12,0
205,4,6,0
206,5,12,0
207,6,21,0
208,7,21,0
209,0,12,0
210,1,15,0
211,2,14,0
212,3,17,0
213,4,16,0
214,5,18,0
215,6,14,0
216,7,13,1
217,0,14,0
218,1,10,0
219,2,14,0
220,3,13,0
221,4,9,0
222,5,15,0
223,6,16,0
224,7,17,0
225,0,7,0
226,1,38,0
227,2,6,0
228,3,13,0
229,4,17,0
230,5,18,0
231,6,7,0
232,7,14,0
233,0,16,0
234,1,17,0
235,2,12,0
236,3,11,1
237,4,14,1
238,5,18,1
239,6,13,1
240,7,47,1
241,0,16,1
242,1,7,1
243,2,7,1
244,3,16,1
245,4,8,1
246,5,36,1
247,6,44,0
248,7,13,0
249,0,21,0
250,1,15,0
251,2,15,0
252,3,11,0
253,4,23,1
254,5,16,1
255,6,42,1
256,7,12,1
257,0,40,0
258,1,13,0
259,2,15,0
260,3,6,0
261,4,8,0
262,5,19,0
263,6,11,0
264,7,15,0
265,0,49,0
266,1,7,0
267,2,16,0
268,3,17,0
269,4,14,0
270,5,16,0
271,6,16,0
272,7,20,1
273,0,12,1
274,1,17,0
275,2,16,0
276,3,20,0
277,4,12,0
278,5,10,0
279,6,15,0
280,7,6,0
281,0,14,0
282,1,17,0
283,2,13,0
284,3,13,0
285,4,14,0
286,5,15,0
287,6,18,0
288,7,19,1
289,0,7,1
290,1,13,0
291,2,15,0
292,3,15,0
293,4,21,0
294,5,21,0
295,6,9,0
296,7,14,0
297,0,14,0
298,1,14,0
299,2,16,0
300,3,7,0
301,4,9,0
302,5,13,0
303,6,16,0
304,7,15,1
305,0,13,1
306,1,36,1
307,2,19,1
308,3,13,1
309,4,9,1
310,5,14,1
311,6,14,1
312,7,12,1
313,0,14,1
314,1,12,1
315,2,22,1
316,3,17,1
317,4,12,0
318,5,11,0
319,6,20,0
320,7,5,0
321,0,17,0
322,1,8,0
323,2,23,0
324,3,20,0
325,4,17,1
326,5,6,1
327,6,15,1
328,7,16,0
329,0,13,0
330,1,45,0
331,2,15,0
332,3,8,0
333,4,10,0
334,5,19,0
335,6,17,0
336,7,13,0
337,0,11,0
338,1,15,0
339,2,11,0
340,3,14,0
341,4,11,0
342,5,11,0
343,6,11,0
344,7,14,0
345,0,11,0
346,1,20,0
347,2,19,0
348,3,16,0
349,4,18,0
350,5,10,0
351,6,12,0
352,7,12,0
353,0,19,0
354,1,15,0
355,2,7,0
356,3,21,1
357,4,16,0
358,5,21,0
359,6,14,0
360,7,18,0
361,0,15,0
362,1,11,0
363,2,15,0
364,3,13,0
365,4,13,1
366,5,11,0
367,6,16,0
368,7,9,0
369,0,23,0
370,1,9,0
371,2,12,0
372,3,10,0
373,4,22,0
374,5,13,0
375,6,12,0
376,7,6,0
377,0,19,0
378,1,11,0
379,2,8,0
380,3,12,0
381,4,15,0
382,5,15,0
383,6,8,0
384,7,9,0
385,0,5,0
386,1,18,0
387,2,18,0
388,3,11,0
389,4,10,0
390,5,7,0
391,6,43,0
392,7,15,0
393,0,8,0
394,1,21,0
395,2,10,0
396,3,13,0
397,4,14,0
398,5,10,0
399,6,41,0
400,7,13,0
